Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336563	Brevundimonas_diminuta	1.474008313234464	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Chryseobacterium_taklimakanense	0.25842869605377944	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Cutibacterium_acnes	0.561126220899403	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Dermacoccus_nishinomiyaensis	0.0533689126084056	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Gordonia_bronchialis	4.259044491199261	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Janibacter_indicus	58.71031970031303	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Micrococcus_luteus	0.9738458117377397	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Minor/Unclassified	33.21674278578881	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Moraxella_osloensis	0.05323206924274303	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336563	Xanthomonas_campestris	0.4398829989223585	Skin	Right palm	residence 3 right palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Brevundimonas_diminuta	3.688371326984373	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Chryseobacterium_taklimakanense	0.7377517705073678	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Cutibacterium_acnes	0.3221306154874587	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Dermacoccus_nishinomiyaensis	0.05938829091543223	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Gordonia_bronchialis	9.538263304236622	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Janibacter_indicus	43.84812873598853	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Micrococcus_luteus	1.193869345759986	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Minor/Unclassified	40.226024278475855	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Moraxella_osloensis	0.07566436411900909	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336564	Xanthomonas_campestris	0.3104079675253587	Skin	Left palm	residence 3 left palm day 10 day	Residence 3	Day 10 day	Subject_3
SL336568	Brevundimonas_diminuta	1.101858861132139	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Chryseobacterium_taklimakanense	0.22221144933823417	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Cutibacterium_acnes	0.2074608851084353	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Dermacoccus_nishinomiyaensis	0.0524142240188078	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Gordonia_bronchialis	4.281434136037493	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Janibacter_indicus	57.968764437218326	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Micrococcus_luteus	0.9796280620368956	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Minor/Unclassified	34.488269365191236	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Moraxella_osloensis	0.06832494498578187	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336568	Xanthomonas_campestris	0.6296336349326508	Skin	Right palm	residence 3 right palm day 9 day	Residence 3	Day 9 day	Subject_3
SL336570	Brevundimonas_diminuta	2.8102181780658517	Skin	Left palm	residence 3 left palm day 9 day	Residence 3	Day 9 day	Subject_3
